"ogs"	"Z_sum"	"w_sum"	"Z_meta"	"p_meta"	"q_meta"	"gene"	"annot"
"ko:K07149"	-25.5380187125016	26	-5.00841752898243	5.48793814796854e-07	0.00297610885764334	"K07149"	"K07149; uncharacterized protein"
"ko:K07016"	-21.7631932099509	19	-4.99281894162771	5.95043356620737e-07	0.00322632507959764	"csm1, cas10"	"csm1, cas10; CRISPR-associated protein Csm1"
"ko:K11054"	-11.0653227881891	5	-4.94856278947366	7.47634728331666e-07	0.00405218022755763	"cylI"	"cylI; CylI protein"
"ko:K03445"	-17.088168860244	12	-4.93292944570983	8.10054217238945e-07	0.0043888737490006	"nepI"	"nepI; MFS transporter, DHA1 family, purine ribonucleoside efflux pump"
"ko:K01160"	-24.0067304842196	24	-4.90035333990467	9.56644480100751e-07	0.00518214314870577	"rusA"	"rusA; crossover junction endodeoxyribonuclease RusA [EC:3.1.21.10]"
"ko:K07640"	-17.5671369768934	13	-4.87224716409913	1.10336011773459e-06	0.00597469503753278	"cpxA"	"cpxA; two-component system, OmpR family, sensor histidine kinase CpxA [EC:2.7.13.3]"
"ko:K19547"	-11.8974189934548	6	-4.85710096501022	1.19116864158898e-06	0.00644660468827958	"bacB"	"bacB; 3-[(4R)-4-hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate isomerase [EC:5.3.3.19]"
"ko:K07451"	-26.9169579410818	31	-4.83442836065	1.33528779666656e-06	0.00722257169216944	"mcrA"	"mcrA; 5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]"
"ko:K12962"	-14.4830823222665	9	-4.82769410742216	1.38123036112502e-06	0.007468312562603	"arnE"	"arnE; undecaprenyl phosphate-alpha-L-ara4N flippase subunit ArnE"
"ko:K22051"	-16.7074500727532	12	-4.82302539848814	1.41396957776258e-06	0.0076439195373845	"mscM, bspA"	"mscM, bspA; miniconductance mechanosensitive channel"
"ko:K03762"	-16.6497320415835	12	-4.80636363807168	1.53700230701219e-06	0.00830749746940086	"proP"	"proP; MFS transporter, MHS family, proline/betaine transporter"
"ko:K04749"	-15.1586499951737	10	-4.79358602380493	1.63826162157705e-06	0.00884988927975923	"rsbV"	"rsbV; anti-sigma B factor antagonist"
"ko:K08159"	-16.5904735643187	12	-4.7892571891714	1.67399818006016e-06	0.00904126417050494	"sotB"	"sotB; MFS transporter, DHA1 family, L-arabinose/isopropyl-beta-D-thiogalactopyranoside export protein"
"ko:K13735"	-26.6507120472743	31	-4.78660918647931	1.69622676698826e-06	0.00915962454173662	"yeeJ"	"yeeJ; adhesin/invasin"
"ko:K02588"	-16.4956954092568	12	-4.76189709250225	1.9178147903846e-06	0.0103542820532865	"nifH"	"nifH; nitrogenase iron protein NifH"
"ko:K03828"	-17.1324633060697	13	-4.75169037884919	2.01723102864537e-06	0.0108849786305704	"yjgM"	"yjgM; putative acetyltransferase [EC:2.3.1.-]"
"ko:K06877"	-20.5009882269594	19	-4.70324925915963	2.56053502921507e-06	0.0138115259475861	"K06877"	"K06877; DEAD/DEAH box helicase domain-containing protein"
"ko:K07088"	-16.2856346025591	12	-4.7012577608557	2.58563874639012e-06	0.0139443497592819	NA	NA
"ko:K15922"	-13.2400403294593	8	-4.68106115007204	2.85393787113657e-06	0.0153884330011684	"yihQ"	"yihQ; sulfoquinovosidase [EC:3.2.1.199]"
"ko:K07003"	-16.871895604573	13	-4.67942190127411	2.87684914879322e-06	0.0155090937611442	"K07003"	"K07003; uncharacterized protein"
"ko:K02572"	-20.3512996190785	19	-4.66890833733057	3.0280443411401e-06	0.0163211589987451	"napF"	"napF; ferredoxin-type protein NapF"
"ko:K07455"	-23.8005916921376	26	-4.667680056664	3.04619760764033e-06	0.0164159589075737	"recT"	"recT; recombination protein RecT"
"ko:K01155"	-25.3309846870232	30	-4.62478390563351	3.74989138837782e-06	0.0201969150178029	"E3.1.21.4"	"E3.1.21.4; type II restriction enzyme [EC:3.1.21.4]"
"ko:K15781"	-11.2738979612737	6	-4.60254956955401	4.17350188893611e-06	0.022470134170032	"serB-plsC"	"serB-plsC; putative phosphoserine phosphatase / 1-acylglycerol-3-phosphate O-acyltransferase [EC:3.1.3.3 2.3.1.51]"
"ko:K18446"	-10.2221215410711	5	-4.57147172801999	4.84310640290986e-06	0.0260655986604608	"ygiF"	"ygiF; triphosphatase [EC:3.6.1.25]"
"ko:K10039"	-13.5704259045748	9	-4.52347530152493	6.08324211505086e-06	0.0327217593368586	"peb1A, glnH"	"peb1A, glnH; aspartate/glutamate/glutamine transport system substrate-binding protein"
"ko:K09697"	-11.9572322879376	7	-4.51940900035925	6.20124945440127e-06	0.03335031956577	"natA"	"natA; sodium transport system ATP-binding protein [EC:7.2.2.4]"
"ko:K05989"	-20.4732665431483	21	-4.46763303128496	7.90898278759257e-06	0.04251078248331	"ramA"	"ramA; alpha-L-rhamnosidase [EC:3.2.1.40]"
"ko:K18347"	-14.1175449094191	10	-4.46435968834798	8.03085556444975e-06	0.043157817803353	"vanH"	"vanH; D-specific alpha-keto acid dehydrogenase [EC:1.1.1.-]"
"ko:K01804"	-18.1466287865011	17	-4.40120395503636	1.07651874004135e-05	0.0578090563402207	"araA"	"araA; L-arabinose isomerase [EC:5.3.1.4]"
"ko:K04652"	-16.4250127218766	14	-4.38976929847612	1.13470977871102e-05	0.0609112209212073	"hypB"	"hypB; hydrogenase nickel incorporation protein HypB"
"ko:K00390"	-21.9076570505764	25	-4.38153141011528	1.17848050302734e-05	0.0632490485974774	"cysH"	"cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]"
"ko:K09967"	-15.7870324913421	13	-4.37853501038077	1.1947974936313e-05	0.0641128335082556	"K09967"	"K09967; uncharacterized protein"
"ko:K10681"	-16.3619609950041	14	-4.37291801564744	1.2259677240459e-05	0.0657609087178218	"saeS"	"saeS; two-component system, OmpR family, sensor histidine kinase SaeS [EC:2.7.13.3]"
"ko:K03811"	-18.0297086744728	17	-4.37284666258626	1.226368629004e-05	0.0657701495734846	"pnuC"	"pnuC; nicotinamide mononucleotide transporter"
"ko:K00146"	-9.72934629628991	5	-4.35109593902801	1.35458761581577e-05	0.0726329879600416	"feaB, tynC"	"feaB, tynC; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]"
"ko:K00151"	-9.72934629628991	5	-4.35109593902801	1.35458761581577e-05	0.0726329879600416	"hpaE, hpcC"	"hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]"
"ko:K10217"	-9.72934629628991	5	-4.35109593902801	1.35458761581577e-05	0.0726329879600416	"dmpC, xylG, praB"	"dmpC, xylG, praB; aminomuconate-semialdehyde/2-hydroxymuconate-6-semialdehyde dehydrogenase [EC:1.2.1.32 1.2.1.85]"
"ko:K01634"	-9.66651688439412	5	-4.32299777183095	1.53923288784178e-05	0.0824720981305624	"SGPL1, DPL1"	"SGPL1, DPL1; sphinganine-1-phosphate aldolase [EC:4.1.2.27]"
"ko:K02334"	-19.4993788141798	21	-4.25511330574272	2.08943179803745e-05	0.111868178466925	"dpo"	"dpo; DNA polymerase bacteriophage-type [EC:2.7.7.7]"
"ko:K08974"	-17.0192459282365	16	-4.25481148205913	2.09225217183705e-05	0.111998258758437	"K08974"	"K08974; putative membrane protein"
"ko:K21449"	-22.5086841490416	28	-4.25374147126183	2.10228005468215e-05	0.112493005726042	"ata, sadA, emaA"	"ata, sadA, emaA; trimeric autotransporter adhesin"
"ko:K16928"	-10.3652107277365	6	-4.2315795598961	2.32055881583602e-05	0.124080279882752	"mtaT"	"mtaT; energy-coupling factor transport system substrate-specific component"
"ko:K00002"	-10.2710872320266	6	-4.19315380368007	2.75102785132317e-05	0.14701492837471	"AKR1A1, adh"	"AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]"
"ko:K20959"	-11.8126965894948	8	-4.17641893126549	2.96134214023866e-05	0.158135670288744	"cdgM"	"cdgM; diguanylate cyclase [EC:2.7.7.65]"
"ko:K03300"	-11.0339455657218	7	-4.17043942096056	3.0401286433835e-05	0.162312468270245	"TC.CITMHS"	"TC.CITMHS; citrate-Mg2+:H+ or citrate-Ca2+:H+ symporter, CitMHS family"
"ko:K07484"	-22.0298117170986	28	-4.16324308807284	3.13759019658364e-05	0.167484564693635	"K07484"	"K07484; transposase"
"ko:K19244"	-15.5273925780289	14	-4.14987022406576	3.32663827321491e-05	0.177509418258748	"ala"	"ala; alanine dehydrogenase [EC:1.4.1.1]"
"ko:K01218"	-22.3031921730558	29	-4.14159881300337	3.44893227857079e-05	0.184000537061752	"gmuG"	"gmuG; mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]"
"ko:K19302"	-10.9060566595106	7	-4.12210195792071	3.75430956804348e-05	0.200179786168078	"bcrC"	"bcrC; undecaprenyl-diphosphatase [EC:3.6.1.27]"
"ko:K00303"	-13.0271066775999	10	-4.11953284232045	3.79641312393368e-05	0.202386783636904	"soxB"	"soxB; sarcosine oxidase, subunit beta [EC:1.5.3.24 1.5.3.1]"
"ko:K06998"	-13.627508981745	11	-4.10884855633147	3.97636714356007e-05	0.211940368751752	"phzF"	"phzF; trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]"
"ko:K09472"	-9.17038465612782	5	-4.10112069418457	4.11154027689585e-05	0.21910398135578	"puuC, aldH"	"puuC, aldH; 4-(gamma-glutamylamino)butanal dehydrogenase [EC:1.2.1.99]"
"ko:K20627"	-11.5595621905986	8	-4.08692240625996	4.37133236658879e-05	0.232904588491851	"lcdB"	"lcdB; lactoyl-CoA dehydratase subunit beta [EC:4.2.1.54]"
"ko:K02022"	-17.3135903807733	18	-4.08085238831034	4.48708455588177e-05	0.239026994291822	"ABC.MR.TX"	"ABC.MR.TX; HlyD family secretion protein"
"ko:K04093"	-9.05808586855882	5	-4.05089914962555	5.10211957019066e-05	0.271687867112653	"pheA1"	"pheA1; chorismate mutase [EC:5.4.99.5]"
"ko:K00030"	-13.3780839531701	11	-4.03364408059451	5.49184811487499e-05	0.292276156673647	"IDH3"	"IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]"
"ko:K03446"	-9.87944712128434	6	-4.03326739799246	5.50066262509028e-05	0.292690258281054	"emrB"	"emrB; MFS transporter, DHA2 family, multidrug resistance protein"
"ko:K09960"	-12.0721190457659	9	-4.02403968192195	5.72082713649047e-05	0.304348003661293	"K09960"	"K09960; uncharacterized protein"
"ko:K07642"	-14.8283814615394	14	-3.96305164496218	7.39977660210866e-05	0.393298126402075	"baeS, smeS"	"baeS, smeS; two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3]"
"ko:K00302"	-13.1314537597298	11	-3.95928227935686	7.51753413107914e-05	0.399406588384235	"soxA"	"soxA; sarcosine oxidase, subunit alpha [EC:1.5.3.24 1.5.3.1]"
"ko:K00656"	-13.0364010317822	11	-3.93062280354761	8.47261047867076e-05	0.44981089031263	"E2.3.1.54, pflD"	"E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]"
"ko:K02587"	-12.952101380011	11	-3.90520550219462	9.41453466685968e-05	0.499252773383569	"nifE"	"nifE; nitrogenase molybdenum-cofactor synthesis protein NifE"
"ko:K03312"	-17.418008707789	20	-3.89478515032995	9.82858081357757e-05	0.521111354735883	"gltS"	"gltS; glutamate:Na+ symporter, ESS family"
"ko:K03573"	-15.5615596630748	16	-3.89038991576869	0.000100083273184845	0.530541431152862	"mutH"	"mutH; DNA mismatch repair protein MutH"
"ko:K10010"	-16.3826454132052	18	-3.86142655515069	0.000112726899923283	0.597227115793554	"tcyC, yecC"	"tcyC, yecC; L-cystine transport system ATP-binding protein [EC:7.4.2.1]"
"ko:K16212"	-12.1397719986126	10	-3.83893297907502	0.000123570152171854	0.654427525902141	"mgp"	"mgp; 4-O-beta-D-mannosyl-D-glucose phosphorylase [EC:2.4.1.281]"
"ko:K01537"	-13.2532995926495	12	-3.82589804373348	0.000130296212518808	0.689657852862052	"ATP2C"	"ATP2C; P-type Ca2+ transporter type 2C [EC:7.2.2.10]"
"ko:K04751"	-15.3020761240937	16	-3.82551903102343	0.000130496852234761	0.690589342026354	"glnB"	"glnB; nitrogen regulatory protein P-II 1"
"ko:K00712"	-19.4994787977771	26	-3.82416241902901	0.000131217396878422	0.694271246883729	"tagE"	"tagE; poly(glycerol-phosphate) alpha-glucosyltransferase [EC:2.4.1.52]"
"ko:K19424"	-17.9315695531216	22	-3.82302347410597	0.000131825224156019	0.69735543578534	"epsF"	"epsF; glycosyltransferase EpsF [EC:2.4.-.-]"
"ko:K07124"	-16.6258001807638	19	-3.81422014965525	0.000136613646250821	0.72254957502059	"K07124"	"K07124; uncharacterized protein"
"ko:K09792"	-11.4318868739181	9	-3.81062895797271	0.000138613681494872	0.732989147744884	"K09792"	"K09792; uncharacterized protein"
"ko:K13640"	-11.4303801497597	9	-3.81012671658656	0.0001388955823101	0.734340943673497	"hspR"	"hspR; MerR family transcriptional regulator, heat shock protein HspR"
"ko:K03780"	-12.5891890957478	11	-3.79578333140265	0.000147177998541534	0.777688544293465	"ttdB"	"ttdB; L(+)-tartrate dehydratase beta subunit [EC:4.2.1.32]"
"ko:K02280"	-15.6228222008871	17	-3.78909094732365	0.000151199556371686	0.7983336576425	"cpaC, rcpA"	"cpaC, rcpA; pilus assembly protein CpaC"
"ko:K00571"	-14.1504969640492	14	-3.78187939228979	0.00015564877473103	0.821514233030375	"E2.1.1.72"	"E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]"
"ko:K00874"	-13.6118344966031	13	-3.77524363312555	0.000159851351331205	0.843215878272105	"kdgK"	"kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]"
"ko:K12057"	-9.2344977172787	6	-3.76996790637147	0.00016326854130592	0.86107828684742	"traF"	"traF; conjugal transfer pilus assembly protein TraF"
"ko:K07473"	-20.3014451645329	29	-3.76988372531081	0.000163323620033097	0.86120544843452	"dinJ"	"dinJ; DNA-damage-inducible protein J"
"ko:K01750"	-15.9714879207773	18	-3.76451580480689	0.000166872114145494	0.879749785775042	"E4.3.1.12, ocd"	"E4.3.1.12, ocd; ornithine cyclodeaminase [EC:4.3.1.12]"
"ko:K07061"	-15.896445732694	18	-3.74682819145062	0.000179084653674949	0.943955209520655	"cmr1"	"cmr1; CRISPR-associated protein Cmr1"
"ko:K09681"	-14.011697749348	14	-3.74478374179226	0.000180549226574127	0.951494424045648	"gltC"	"gltC; LysR family transcriptional regulator, transcription activator of glutamate synthase operon"
"ko:K03801"	-13.9529102214547	14	-3.72907211407853	0.000192186150713385	1	"lipB"	"lipB; lipoyl(octanoyl) transferase [EC:2.3.1.181]"
"ko:K04752"	-14.4110576494269	15	-3.72091908516437	0.0001984990369739	1	"glnK"	"glnK; nitrogen regulatory protein P-II 2"
"ko:K14681"	-10.457588338147	8	-3.69731581438054	0.000217891203736777	1	"argHA"	"argHA; argininosuccinate lyase / amino-acid N-acetyltransferase [EC:4.3.2.1 2.3.1.1]"
"ko:K00549"	-15.2219382590984	17	-3.69186230993491	0.000222617982049167	1	"metE"	"metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]"
"ko:K14669"	-8.24025771155127	5	-3.6851552790291	0.000228563248533428	1	"whiEV"	"whiEV; minimal PKS acyl carrier protein"
"ko:K10218"	-12.7654025242569	12	-3.68505429184682	0.000228653894268929	1	"ligK, galC"	"ligK, galC; 4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.3.17]"
"ko:K11069"	-10.3902396611685	8	-3.67350446128283	0.000239246498157038	1	"potD"	"potD; spermidine/putrescine transport system substrate-binding protein"
"ko:K12790"	-13.2239505168132	13	-3.66766397327451	0.000244776575285888	1	"eae"	"eae; intimin"
"ko:K02478"	-13.7024068137	14	-3.66212226221874	0.000250134423057347	1	"K02478"	"K02478; two-component system, LytTR family, sensor kinase [EC:2.7.13.3]"
"ko:K09961"	-11.5742584022059	10	-3.6601018778312	0.000252114989776432	1	"K09961"	"K09961; uncharacterized protein"
"ko:K02808"	-12.6759706303444	12	-3.65923752783457	0.000252966789063636	1	NA	NA
"ko:K02066"	-10.3292784511798	8	-3.65195141879665	0.000260255126511842	1	"mlaE, linK"	"mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein"
"ko:K02230"	-12.6257209566933	12	-3.64473169652999	0.000267670898535969	1	"cobN"	"cobN; cobaltochelatase CobN [EC:6.6.1.2]"
"ko:K01246"	-19.2671871736763	28	-3.64115612323435	0.000271416476083955	1	"tag"	"tag; DNA-3-methyladenine glycosylase I [EC:3.2.2.20]"
"ko:K19157"	-19.4766682936487	29	-3.61672650535135	0.000298352248214309	1	"yafQ"	"yafQ; mRNA interferase YafQ [EC:3.1.-.-]"
"ko:K14645"	-18.3774524677368	26	-3.60411495165821	0.000313218417565462	1	"K14645"	"K14645; serine protease [EC:3.4.21.-]"
"ko:K00020"	-11.3731433276525	10	-3.59650370709284	0.000322522989346708	1	"HIBADH, mmsB"	"HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]"
"ko:K10040"	-10.7774916802693	9	-3.59249722675643	0.000327524141067098	1	"peb1B, glnP, glnM"	"peb1B, glnP, glnM; aspartate/glutamate/glutamine transport system permease protein"
"ko:K21681"	-13.8244104359072	15	-3.56944742596032	0.000357734998211782	1	"bcs1"	"bcs1; ribitol-5-phosphate 2-dehydrogenase (NADP+) / D-ribitol-5-phosphate cytidylyltransferase [EC:1.1.1.405 2.7.7.40]"
"ko:K03779"	-11.2505987608155	10	-3.55775171248451	0.000374042611405028	1	"ttdA"	"ttdA; L(+)-tartrate dehydratase alpha subunit [EC:4.2.1.32]"
"ko:K12997"	-15.5031862277061	19	-3.55667484576119	0.00037557854280965	1	"rgpB"	"rgpB; rhamnosyltransferase [EC:2.4.1.-]"
"ko:K01739"	-16.2795313653874	21	-3.55248498858551	0.000381610791687417	1	"metB"	"metB; cystathionine gamma-synthase [EC:2.5.1.48]"
"ko:K11144"	-12.7908805733778	13	-3.54755198197308	0.000388829014180134	1	"dnaI"	"dnaI; primosomal protein DnaI"
"ko:K05802"	-17.3147968049115	24	-3.53436809766714	0.000408751393414938	1	"mscK, kefA, aefA"	"mscK, kefA, aefA; potassium-dependent mechanosensitive channel"
"ko:K19139"	-12.6722135456052	13	-3.51463967017762	0.000440351040463661	1	"csm4"	"csm4; CRISPR-associated protein Csm4"
"ko:K02669"	-13.6042264103942	15	-3.51259615503278	0.000443751402535822	1	"pilT"	"pilT; twitching motility protein PilT"
"ko:K03292"	-13.9896631287864	16	-3.4974157821966	0.000469789016735621	1	"TC.GPH"	"TC.GPH; glycoside/pentoside/hexuronide:cation symporter, GPH family"
"ko:K04112"	-12.608213398126	13	-3.49688922299502	0.000470717256449463	1	"bcrC, badD"	"bcrC, badD; benzoyl-CoA reductase subunit C [EC:1.3.7.8]"
"ko:K01207"	-16.3978240737754	22	-3.49602783920219	0.000472239428083864	1	"nagZ"	"nagZ; beta-N-acetylhexosaminidase [EC:3.2.1.52]"
"ko:K01940"	-10.455319883056	9	-3.48510662768532	0.000491940964239714	1	"argG, ASS1"	"argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]"
"ko:K01156"	-20.260903193417	34	-3.47471623138036	0.000511394018124885	1	"res"	"res; type III restriction enzyme [EC:3.1.21.5]"
"ko:K00394"	-8.49669716983513	6	-3.46876209417434	0.000522862242953691	1	"aprA"	"aprA; adenylylsulfate reductase, subunit A [EC:1.8.99.2]"
"ko:K10003"	-9.16893789899697	7	-3.46553278104872	0.000529182010950757	1	"gltJ, aatQ"	"gltJ, aatQ; glutamate/aspartate transport system permease protein"
"ko:K07816"	-12.9532456889246	14	-3.46190052961875	0.00053637535472194	1	"E2.7.6.5"	"E2.7.6.5; GTP pyrophosphokinase [EC:2.7.6.5]"
"ko:K10953"	-12.948294910311	14	-3.46057737837804	0.000539018298528201	1	"rtxA"	"rtxA; RTX toxin RtxA"
"ko:K11070"	-11.4651535689743	11	-3.45687386837197	0.000546480569165744	1	"potC"	"potC; spermidine/putrescine transport system permease protein"
"ko:K13075"	-14.6109389235765	18	-3.44383133078781	0.000573533377595976	1	"ahlD, aiiA, attM, blcC"	"ahlD, aiiA, attM, blcC; N-acyl homoserine lactone hydrolase [EC:3.1.1.81]"
"ko:K06919"	-18.4138937034474	29	-3.41937421841795	0.000627653428139817	1	"K06919"	"K06919; putative DNA primase/helicase"
"ko:K03077"	-14.4872633863294	18	-3.41468072710305	0.000638568145260387	1	"araD, ulaF, sgaE, sgbE"	"araD, ulaF, sgaE, sgbE; L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]"
"ko:K08282"	-15.2201649680911	20	-3.40333234974125	0.000665692523798503	1	"E2.7.11.1"	"E2.7.11.1; non-specific serine/threonine protein kinase [EC:2.7.11.1]"
"ko:K03791"	-12.2686773817124	13	-3.40271887552996	0.000667188913559485	1	"K03791"	"K03791; putative chitinase"
"ko:K00086"	-13.1456806687212	15	-3.39420015363454	0.000688293673522958	1	"dhaT"	"dhaT; 1,3-propanediol dehydrogenase [EC:1.1.1.202]"
"ko:K01751"	-10.7145930652714	10	-3.38825182881029	0.000703396504116028	1	"E4.3.1.15"	"E4.3.1.15; diaminopropionate ammonia-lyase [EC:4.3.1.15]"
"ko:K07335"	-10.131494267744	9	-3.37716475591466	0.000732371682362724	1	"bmpA, bmpB, tmpC"	"bmpA, bmpB, tmpC; basic membrane protein A and related proteins"
"ko:K07273"	-13.7973622916434	17	-3.34635188725646	0.00081882411092602	1	"acm"	"acm; lysozyme"
